customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,daily.account,Qtd.Servicos,total_servicos
0002-ORFBO,False,Female,False,True,True,9,True,False,DSL,False,True,False,True,True,False,One year,True,Mailed check,65.6,593.3,2.197407407407407,4,4
0003-MKNFE,False,Male,False,False,False,9,True,True,DSL,False,False,False,False,False,True,Month-to-month,False,Mailed check,59.9,542.4,2.008888888888889,3,3
0004-TLHLJ,True,Male,False,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,73.9,280.85,2.340416666666667,2,2
0011-IGKFF,True,Male,True,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.0,1237.85,3.1739743589743585,5,5
0013-EXCHZ,True,Female,True,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Month-to-month,True,Mailed check,83.9,267.4,2.971111111111111,3,3
0013-MHZWF,False,Female,False,False,True,9,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),69.4,571.45,2.1164814814814816,4,4
0013-SMEOE,False,Female,True,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),109.7,7904.25,3.7109154929577466,7,7
0014-BMAQU,False,Male,False,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),84.65,5377.8,2.8453968253968256,4,4
0015-UOCOJ,False,Female,True,False,False,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,48.2,340.35,1.6207142857142858,2,2
0016-QLJIS,False,Female,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Two year,True,Mailed check,90.45,5957.9,3.055333333333333,8,8
